sentence,label,label_name,dataset
正畸托槽掉了，吞咽下去了，有事吗？,1,business,train
二手iPad，主要给孩子上网课，推荐哪一代？,0,knowledge_qa,train
帮我记一下：待审核知识每周五批量处理,2,knowledge_mgmt,train
帮忙录入：大促期间发货延迟至72小时,2,knowledge_mgmt,train
充值的Q币怎么少了10个？,1,business,train
说是原装屏，结果拆机一看是国产屏，骗子？,3,escalate,train
添加规则：大促期间发货延迟至72小时,2,knowledge_mgmt,train
萨克斯漆面掉了，露铜了,1,business,train
狗粮适合泪痕重的狗狗吗？有没有诱食剂,0,knowledge_qa,train
婴儿推车能上飞机吗？折叠后尺寸多少,0,knowledge_qa,train
订单为什么一直显示运输中,1,business,train
这款电动牙刷防水吗,0,knowledge_qa,train
奶粉有没有老客回购券？上次买的快吃完了,0,knowledge_qa,train
推荐一款性价比高的空气炸锅,0,knowledge_qa,train
买的终身会员，才用了三个月就提示过期，骗钱的吧,3,escalate,train
宠物猫是布偶，想买个猫窝，要大一点的,0,knowledge_qa,train
猫窝有股刺鼻的味道，洗了还有，能退吗？,1,business,train
宠物驱虫后精神不好，正常吗？,1,business,train
猫粮买两袋能不能包邮？或者送个罐头,0,knowledge_qa,train
多肉死了,1,business,train
医美注射后淤青，多久能消？,1,business,train
添加知识：电子类产品质保一年,2,knowledge_mgmt,train
医美咨询说“无创”，结果有针眼，骗人！,3,escalate,train
游戏代练打输了掉段了，怎么赔？,1,business,train
脱口秀票能改场次吗？这周没空,1,business,train
你们这服务太差劲了,3,escalate,train
酸奶保质期还有多久？别发临期,0,knowledge_qa,train
快递员不打电话直接放驿站，我腿脚不便咋拿,1,business,train
存入知识库：线下门店也支持线上下单售后,2,knowledge_mgmt,train
车载香水漏液，把中控台腐蚀了,3,escalate,train
买的电子书怎么下载不了？,1,business,train
录入：促销活动规则需提前3天录入,2,knowledge_mgmt,train
防晒霜发票还没开，抬头改成公司,1,business,train
钻戒不好,1,business,train
游戏账号买的，登上去发现被找回了，钱能退吗？,1,business,train
生鲜现在下单，明天能到吗？冷链靠谱吗,1,business,train
你们家的东西质量真差,3,escalate,train
音乐节阵容临时换人，能全额退票吗？,3,escalate,train
车膜坏了,1,business,train
烘干机噪音大，像飞机起飞,1,business,train
说是“精装”，结果胶装都散了，这叫精装？,3,escalate,train
记一条：预售商品定金不退，尾款可退,2,knowledge_mgmt,train
添加规则：审核不通过的知识7天内可修改重提,2,knowledge_mgmt,train
种子发霉了,1,business,train
帮我添加：定制商品不支持退货退款,2,knowledge_mgmt,train
古筝断了,1,business,train
宠物住院费一天多少钱？包含检查费吗？,0,knowledge_qa,train
裤子开线了，才穿一次，能退吗？,1,business,train
床垫是独立袋装弹簧吗？伴侣翻身有影响吗,0,knowledge_qa,train
这个电饭煲支持预约做饭吗,0,knowledge_qa,train
显示“派送中”都一天了，是车坏了还是人跑了？,1,business,train
游戏手柄摇杆漂移了，往左推会自动往右走,1,business,train
粉底液含酒精吗？敏感肌能用吗,0,knowledge_qa,train
3号链接那个精华，干皮能用吗？我是大干皮还起皮,0,knowledge_qa,train
帮我把订单改成另一款,1,business,train
物流写“拒签”，但我没拒签啊，搞什么鬼？,1,business,train
换货需要自己寄回去吗,1,business,train
网课视频卡顿,1,business,train
展览票能改时间吗？下周有事去不了,1,business,train
多肉徒长了，长得歪歪扭扭,1,business,train
体检套餐能不能换医院？这家态度差,1,business,train
主播说的那个“拍一发五”，是发5个正装吗？,0,knowledge_qa,train
帮我记录一下：向量索引每周重建一次,2,knowledge_mgmt,train
徒步背包，30L左右，背负系统好，有推荐吗,0,knowledge_qa,train
车载香薰坏了,1,business,train
绿萝收到叶子全枯了，快递闷了三天,1,business,train
猫粮里有虫，恶心死了，赔钱！,3,escalate,train
这个音箱支持蓝牙5.3吗,0,knowledge_qa,train
空调安装师傅乱收费，加氟要了500块，坑人！,3,escalate,train
有没有适合中小企业的轻量级ERP推荐？,0,knowledge_qa,train
这个API接口支持并发多少QPS？,0,knowledge_qa,train
笛子音不准，吹出来跑调,1,business,train
干皮粉底液，不卡粉不斑驳，有推荐吗,0,knowledge_qa,train
想要个能挂50个号的云手机，别太贵,0,knowledge_qa,train
猫粮能不能把“鸡肉味”改成“鱼肉味”,1,business,train
会员不好,1,business,train
抱枕到哪了？说好的3天送达,1,business,train
书能不能备注“不要塑封”？我要送人,1,business,train
双十一会更便宜吗,0,knowledge_qa,train
辛苦啦,0,knowledge_qa,train
软件不好,1,business,train
电子琴键塌陷,1,business,train
物流显示“已签收”，但我没收到，快递放哪了？,1,business,train
录入：本店支持花呗分期、信用卡支付,2,knowledge_mgmt,train
睡袋凑单满减，那个链接失效了,0,knowledge_qa,train
医美注射后血管栓塞，急死了，怎么办？,1,business,train
项链扣子断了，戴了不到一周，怎么修？,1,business,train
精华液能不能改发顺丰？补差价我出,1,business,train
小户型沙发，坐深要浅，别占地方,0,knowledge_qa,train
智能马桶安装完，冲水无力，是不是水压问题？,1,business,train
宠物猫是美短，想买个猫爬架，稳一点的,0,knowledge_qa,train
为什么还没有揽收,1,business,train
跑鞋凑单满减，那个链接失效了,0,knowledge_qa,train
全屋定制安装完，柜门缝隙一大一小，能调吗？,1,business,train
记录：店铺客服电话400-618-8888，工作时间9:00-21:00,2,knowledge_mgmt,train
地毯现在下定金，尾款能打折吗,0,knowledge_qa,train
汽车脚垫尺寸不对，卡住油门踏板了，太危险了！,3,escalate,train
架子鼓不好,1,business,train
这款牛仔裤容易掉色吗,0,knowledge_qa,train
汽车坐垫滑来滑去，根本固定不住,1,business,train
卸妆油会员积分能抵扣吗？,0,knowledge_qa,train
这个帮我记住：组合套装不支持部分退货,2,knowledge_mgmt,train
订单还能取消吗,1,business,train
帮我记录一下：API调用频率限制为每分钟60次,2,knowledge_mgmt,train
为什么物流一直显示待揽收,1,business,train
豆浆机打出来的豆浆有糊味，是不是加热盘坏了？,1,business,train
手机壳防摔吗？经常手滑,0,knowledge_qa,train
想要个适合3岁小孩玩的益智玩具，不要有吞咽风险的,0,knowledge_qa,train
这个帮我记住：食品类开封后不支持退货,2,knowledge_mgmt,train
有没有适合大学生的平板,0,knowledge_qa,train
现在买有满减活动吗,0,knowledge_qa,train
定制家具现在下定金，尾款能打折吗,0,knowledge_qa,train
定制橱柜安装完，水槽漏水，师傅说管子没接好？,1,business,train
书印刷模糊，看着头晕，这是正版？,3,escalate,train
网课没有字幕，听不懂,1,business,train
宠物疫苗打错部位，有事吗？,3,escalate,train
拼图拼好了发现有一块是坏的，颜色不对,1,business,train
抱枕现在下定金，尾款能打折吗,0,knowledge_qa,train
人工客服在吗？机器人听不懂生鲜需求,0,knowledge_qa,train
谢谢客服小姐姐,0,knowledge_qa,train
精华液赠品不要了，能折现吗,1,business,train
帮我添加：签名确认即视为包裹完好,2,knowledge_mgmt,train
刚才那个红包怎么领不了？显示“活动太火爆”,0,knowledge_qa,train
耳机左耳声音小，是不是品控问题？,1,business,train
还没发货，能不能把“白色”改成“黑色”，急！,1,business,train
漫展票能退吗？行程有变去不了了,1,business,train
手机屏幕碎了，在保修范围内吗？说是人为的我不认,1,business,train
演唱会强实名，身份证丢了怎么进场？,0,knowledge_qa,train
盆栽不好,1,business,train
再不处理我就去12315和黑猫投诉了，别逼我,3,escalate,train
人工！人工！美妆急事！别发自动回复！,0,knowledge_qa,train
存一下规则：换货需在签收后15天内申请,2,knowledge_mgmt,train
订单不要了帮我取消,1,business,train
露营灯，续航长，能当充电宝，有推荐吗,0,knowledge_qa,train
收录：大促期间发货延迟至72小时,2,knowledge_mgmt,train
软件激活次数用完了,1,business,train
医美咨询说“永久”，结果半年就没了，骗人！,3,escalate,train
定制窗帘装完有缝隙，师傅说“墙不平”，怪我？,3,escalate,train
说是18K金，戴了两天掉色，假一赔三！,3,escalate,train
包裹已经发货了吗,1,business,train
隐形眼镜戴着眼红，还能继续戴吗？,1,business,train
上传规则：知识库数据支持CSV批量导入,2,knowledge_mgmt,train
有没有不粘指纹的手机壳，强迫症受不了,0,knowledge_qa,train
